id,"manufacturer_accrual","category","plan_name","details",company_id,"company_name","expiration",participation_percentage,"external_id","created_at","updated_at"
1587,"1%","Housewares and Household Supplies","Sanford Faber Inc.","Corporate Address
2711 Washington Blvd.
Bellwood, IL 60104
Fax: (708) 649-3432
programs matching search criteria   other programsPlan 1 - Mass MerchandiserPlan 2 - RetailerPlan 3 - RetailerPlan 4 - RetailerPlan 5 - RetailerPlan 6 - Retailer/Wholesaler
Name
Sanford Faber Inc.
Type
Retailer
Products
Office & technical supplies
Trademarks
Faber/Castell
Timing
Program: Calendar year
Accrual: Previous calendar year
Advertising: Calendar year
Claim: by Dec. 31
Accrual
1%
Participation
Manufacturer: 100%
Eligible Media
Catalog
Advertising Specifications
-All advertising requires prior approval.-Products must be illustrated.-Trademark name required.-Product description.
Media Requirements
-All Media: manufacturer's agreement/commitment form or contract must be completed before advertising is scheduled.
Advertising Aids
Camera-ready ads; Print elements
Reimbursement Method
Check; Credit memo
Claim Documentation
-Catalog: complete copy of piece; paid media invoice
Claim Address
Send claim to manufacturer's local representative.",1233,"Sanford Corp.","12/31",100,"3506-3","2009-05-18 17:47:42","2009-05-18 17:49:08"
1588,"10%","Housewares and Household Supplies","Sassafras Enterprises Inc.","Corporate Address
1622 W. Carroll Ave.
Chicago, IL 60612
Fax: (312) 226-0873
programs matching search criteria   other programsPlan 1 - RetailerPlan 2 - Retailer
Name
Sassafras Enterprises Inc.
Type
Retailer
Products
giftware; gourmet cookware; home accessories
Trademarks
Sassafras; Superstone
Timing
Program: Calendar year
Accrual: Calendar year
Advertising: Calendar year
Claim: Within 30 days of ad run
Accrual
10%
Participation
Manufacturer: 100%
Eligible Media
Cable TVCatalogCircularMagazineNewspaperNewspaper InsertRadioShopperStatement StufferTVWeekly Newspaper
Advertising Specifications
-No competing products.-All advertising requires prior approval.-Trademark name required.
Media Requirements
-All Media: manufacturer's agreement/commitment form or contract must be completed before advertising is scheduled.
Reimbursement Method
Credit memo
Claim Documentation
-All Media: manufacturer's claim form; paid media invoice-Catalog: complete copy of piece-Circular: affidavit of distribution; complete copy of piece-Magazine: complete copy of piece-Newspaper: full page tearsheet-Newspaper Insert: complete copy of piece-Radio: ANA/RAB * electronic tearsheet-Shopper: complete copy of piece-Statement Stuffer: complete copy of piece-TV: ANA/CAB * electronic tearsheet; ANA/TvB * electronic tearsheet-Weekly Newspaper: full page tearsheet
Claim Address
1622 W. Carroll Ave.
Chicago, IL 60612",1238,"Sassafras Enterprises, Inc.","12/31",100,"3509-1","2009-05-18 17:47:42","2009-05-18 17:49:08"
1589,"See Full Citation","Apparel and Accessories - Women","Donna Karan","Corporate Address
5660 University Pkwy., 5th Fl.
Winston Salem, NC 27102
programs matching search criteria   other programsPlan 1 - RetailerPlan 2 - RetailerPlan 3
Name
Donna Karan
Type
Retailer
Special Instructions
Authorized dealers only.
Products
hosiery
Trademarks
Donna Karan
Timing
Program: Jul. 01 - Jun. 30
Accrual: Calendar year
Advertising: Jul. 01 - Jun. 30
Claim: Within 90 days of ad run
Accrual
2%; 6%
Participation
Manufacturer: 50%
Dealer: 50%
on all media & custom built fixtures; 100% display fixtures ordered from Hanes
Eligible Media
CatalogMagazineNewspaperNewspaper InsertRadioStatement StufferTVWeekly Newspaperdisplay fixtures
Advertising Specifications
-Only regular, first-line merchandise qualifies.-Manufacturer's products only; no omnibus ads.-Manufacturer's logo required.-Trademark name must be prominent.-Product description.
Media Requirements
-All Media: SRDS listing-Newspaper: audited circulation; audited rates; broad general interest; serving retailer's primary trading area-Radio: FCC license-TV: FCC license-Weekly Newspaper: audited circulation; audited rates; broad general interest; serving retailer's primary trading area
Advertising Aids
Print elements
Reimbursement Method
Check
Claim Documentation
-All Media: paid media invoice-Catalog: complete copy of piece-Magazine: complete copy of piece-Newspaper: full page tearsheet-Newspaper Insert: complete copy of piece-Radio: ANA/RAB * electronic tearsheet; script-Shopper: Fixtures:-Statement Stuffer: complete copy of piece-TV: ANA/CAB * electronic tearsheet; ANA/TvB * electronic tearsheet; script-Weekly Newspaper: full page tearsheet
Claim Address
T.P.A. Reg. Sara Lee Hosiery
24209 North Western Hwy.
Southfield MI 48075-2574",1236,"Sara Lee Hosiery","06/30",50,"3508-2","2009-05-18 17:47:42","2009-05-18 17:49:08"
1590,"1%","Office Equipment and Supplies","","Corporate Address
2711 Washington Blvd.
Bellwood, IL 60104
Fax: (708) 649-3432
programs matching search criteria   other programsPlan 1 - Mass MerchandiserPlan 2 - RetailerPlan 3 - RetailerPlan 4 - RetailerPlan 5 - RetailerPlan 6 - Retailer/Wholesaler
Type
Retailer
Special Instructions
All adv. requires sls. rep.'s approval prior to publication; contact our Mktg. Svcs. Dept. for line art and other support material.
Products
artists' & drafting materials
Trademarks
Rotring
Timing
Program: Calendar year
Accrual: Previous calendar year
Advertising: Calendar year
Claim: Within 60 days of ad run
Accrual
1%
Participation
Manufacturer: 50%
Dealer: 50%
May Include: Space or Time Only
Eligible Media
CatalogDirect MailFlyerMagazineNewspaper
Advertising Specifications
-All advertising requires prior approval.
Media Requirements
-All Media: prior approval required
Reimbursement Method
Credit memo
Claim Documentation
-All Media: complete copy of piece; manufacturer's claim form; paid media invoice
Claim Address
Send claim to manufacturer's local representative.",1233,"Sanford Corp.","12/31",50,"3506-4","2009-05-18 17:47:42","2009-05-18 17:49:08"
1591,"5%","China, Crystal and Silver","Sheffield","Corporate Address
144 W. Britannia St.
Taunton, MA 02780-1643
Fax: (508) 822-7269
programs matching search criteria   other programsPlan 1 - RetailerPlan 2 - RetailerPlan 3 - RetailerPlan 4 - RetailerPlan 5 - Retailer
Name
Sheffield
Type
Retailer
Special Instructions
Only the V.P. Admin./Controller at Reed Barton Silversmiths has authority to approve any deviation from established advertising accruals under plan. Contact for specific details
Products
Holloware; crystal; flatware
Trademarks
Miller-Rogasko; Reed & Barton; Sheffield
Timing
Program: Feb. 01 - Jan. 31
Accrual: Feb. 01 - Jan. 31
Advertising: Feb. 01 - Jan. 31
Claim: Within 60 days of ad run
Accrual
5%
Participation
Manufacturer: 100%
May Include: Space or Time Only
Eligible Media
CatalogCircularFlyerMagazineNewspaperNewspaper InsertRadioTV
Advertising Specifications
-All advertising requires prior approval.-Products must be illustrated.-Trademark name required.-Trademark name must be prominent.-Multi-product ads must devote equal space to manufacturer's product.
Reimbursement Method
Credit memo
Claim Documentation
-All Media: paid media invoice-Catalog: complete copy of piece-Circular: complete copy of piece-Magazine: complete copy of piece-Newspaper: full page tearsheet-Newspaper Insert: complete copy of piece-Radio: ANA/RAB * electronic tearsheet; script; storyboard-TV: ANA/TvB * electronic tearsheet; script; storyboard
Claim Address
Reed & Barton Silversmiths
Co-op Adv. Dept.
P.O. Box 4006
Taunton, MA 02780-4006",1237,"Reed & Barton Silversmiths","12/31",100,"3494-1","2009-05-18 17:47:42","2009-05-18 17:49:08"
1592,"See Full Citation","Apparel and Accessories - Women","Hanes","Corporate Address
5660 University Pkwy., 5th Fl.
Winston Salem, NC 27102
programs matching search criteria   other programsPlan 1 - RetailerPlan 2 - RetailerPlan 3
Name
Hanes
Special Instructions
This program is an advertising & visual merchandising program for authorized dealers only.
Products
hosiery
Trademarks
Fitting Pretty; Hanes; Hanes Alive; Hanes Too; Resilience; Silk Reflections
Timing
Program: Jul. 01 - Jun. 30
Advertising: Jul. 01 - Jun. 30
Claim: Within 60 days of ad run
Accrual
2%; 6%
Participation
Manufacturer: 50%
Dealer: 50%
Eligible Media
Cable TVCatalogMagazineNewspaperNewspaper InsertPromo. pieces; postcardsRadioStatement StufferTVWeekly Newspaper
Advertising Specifications
-Only regular, first-line merchandise qualifies.-Manufacturer's products only; no omnibus ads.-Manufacturer's logo required.-Trademark name must be prominent.-Product description.
Media Requirements
-All Media: Medianet Media Database; Other-Newspaper: audited circulation; audited rates; broad general interest; serving retailer's primary trading area-Radio: FCC license-TV: FCC license-Weekly Newspaper: audited circulation; audited rates; broad general interest; serving retailer's primary trading area
Advertising Aids
Print elements
Reimbursement Method
Check
Claim Documentation
-All Media: paid media invoice-Catalog: affidavit of distribution; complete copy of piece; paid printer's invoice-Magazine: complete copy of piece-Newspaper: full page tearsheet-Newspaper Insert: complete copy of piece; proof of performance-Radio: ANA/RAB * electronic tearsheet; script-Shopper: Promotional pieces:-Statement Stuffer: affidavit of distribution; complete copy of piece; paid printer's invoice; postal receipt-TV: ANA/CAB * electronic tearsheet; ANA/TvB * electronic tearsheet; script-Weekly Newspaper: full page tearsheet
Claim Address
Reg. T.P.A. Sara Lee Hosiery
24209 Northwestern Hwy.
Southfield MI 48075-2574",1236,"Sara Lee Hosiery","06/30",50,"3508-3","2009-05-18 17:47:42","2009-05-18 17:49:08"
1593,"1%","Office Equipment and Supplies","","Corporate Address
2711 Washington Blvd.
Bellwood, IL 60104
Fax: (708) 649-3432
programs matching search criteria   other programsPlan 1 - Mass MerchandiserPlan 2 - RetailerPlan 3 - RetailerPlan 4 - RetailerPlan 5 - RetailerPlan 6 - Retailer/Wholesaler
Type
Retailer
Special Instructions
All advertising requires sls. rep.'s approval prior to publication.
Products
artist's materials
Trademarks
Grumbacher
Timing
Program: Calendar year
Accrual: Previous calendar year
Advertising: Calendar year
Claim: Within 60 days of ad run
Accrual
1%
Participation
Manufacturer: 50%
Dealer: 50%
May Include: Space or Time Only
Eligible Media
CatalogDirect MailFlyerMagazineNewspaper
Advertising Specifications
-All advertising requires prior approval.
Media Requirements
-All Media: prior approval required
Reimbursement Method
Credit memo
Claim Documentation
-All Media: paid media invoice; prior approval documentation; proof of performance
Claim Address
Send claim to manufacturer's local representative.
Personnel
Program Contact
(Mktg.)
Toll Free: (800) 323-0749
Phone: (708) 547-6650",1233,"Sanford Corp.","12/31",50,"3506-5","2009-05-18 17:47:42","2009-05-18 17:49:08"
1594,"5%","Stationery and Greeting Cards","","Corporate Address
2801 S. 25th Ave.
Broadview, IL 60155
Fax: (708) 343-6607
programs matching search criteria   other programsPlan 1 - Retailer
Type
Retailer
Special Instructions
Complete and return advertising agreement.
Products
world globes
Trademarks
Globemaster; Replogle
Timing
Program: Calendar year
Accrual: Calendar year
Advertising: Calendar year
Claim: by Feb. 28
Accrual
5%
Participation
Manufacturer: 100%
Eligible Media
CatalogNewspaperRadioTVWeekly Newspaper
Advertising Specifications
-Products must be illustrated.-Trademark name required.-Registry symbol required.
Advertising Aids
Print elements; Radio commercials; Radio elements
Reimbursement Method
Credit memo
Claim Documentation
-All Media: proof of performance-Catalog: complete copy of piece; paid media invoice-Newspaper: full page tearsheet; paid media invoice-Radio: paid media invoice; script; station affidavit-TV: paid media invoice; script; station affidavit-Weekly Newspaper: full page tearsheet; paid media invoice
Claim Address
2801 S. 25th Ave.
Broadview, IL 60155",1239,"Replogle Globes, Inc.","12/31",100,"3495-1","2009-05-18 17:47:42","2009-05-18 17:49:08"
1595,"10%","China, Crystal and Silver","Belleek","Corporate Address
144 W. Britannia St.
Taunton, MA 02780-1643
Fax: (508) 822-7269
programs matching search criteria   other programsPlan 1 - RetailerPlan 2 - RetailerPlan 3 - RetailerPlan 4 - RetailerPlan 5 - Retailer
Name
Belleek
Type
Retailer
Special Instructions
Only the V.P. Admin./Controller has authority to approve any deviation from established advertising accruals under plan
Products
China
Trademarks
Belleek
Timing
Program: Calendar year
Accrual: Calendar year
Advertising: Calendar year
Claim: Within 60 days of ad run
Accrual
10%
Participation
Manufacturer: 100%
up to accrued amt.
May Include: Space or Time Only
Eligible Media
CatalogCircularFlyerMagazineNewspaperNewspaper InsertRadioTV
Advertising Specifications
-All advertising requires prior approval.-Products must be illustrated.-Trademark name required.-Trademark name must be prominent.-Multi-product ads must devote equal space to manufacturer's product.
Media Requirements
-All Media: prior approval required; serving retailer's primary trading area
Reimbursement Method
Credit memo
Claim Documentation
-All Media: paid media invoice-Catalog: complete copy of piece-Circular: complete copy of piece-Magazine: complete copy of piece-Newspaper: full page tearsheet-Newspaper Insert: complete copy of piece-Radio: ANA/RAB * electronic tearsheet; script; storyboard-TV: ANA/TvB * electronic tearsheet; script; storyboard
Claim Address
Reed & Barton Silversmiths
Co-op Adv. Dept.
P.O. Box 4006
Taunton, MA 02780-4006",1237,"Reed & Barton Silversmiths","12/31",100,"3494-2","2009-05-18 17:47:42","2009-05-18 17:49:08"
1596,"10%","Home Furnishings, Upholstery and Draperies","Shower Curtains Div.","Corporate Address
2100 Section Rd.
Cincinnati, OH 45237
Fax: (513) 242-2805
programs matching search criteria   other programsPlan 1 - RetailerPlan 2 - RetailerPlan 3 - Retailer
Name
Shower Curtains Div.
Type
Retailer
Products
shower curtains
Trademarks
Saturday Knight
Timing
Program: Calendar year
Accrual: Calendar year
Advertising: Calendar year
Claim: Within 30 days of ad run
Accrual
10%
Participation
Manufacturer: 50%
Dealer: 50%
Eligible Media
Cable TVCatalogMagazineNewspaperRadioTVWeekly Newspaper
Advertising Specifications
-Products must be illustrated.-Trademark name required.-Trademark name must be prominent.
Media Requirements
-All Media: prior approval required
Advertising Aids
Print elements
Reimbursement Method
Credit memo
current accounts only
Claim Documentation
-All Media: paid media invoice-Catalog: complete copy of piece-Magazine: complete copy of piece-Newspaper: full page tearsheet-Radio: script; station affidavit-TV: script; station affidavit-Weekly Newspaper: full page tearsheet
Claim Address
2100 Section Rd.
Cincinnati, OH 45237",346,"Saturday Knight Ltd.","12/31",50,"3510-2","2009-05-18 17:47:42","2009-05-18 17:49:09"
1597,"1%","Office Equipment and Supplies","","Corporate Address
2711 Washington Blvd.
Bellwood, IL 60104
Fax: (708) 649-3432
programs matching search criteria   other programsPlan 1 - Mass MerchandiserPlan 2 - RetailerPlan 3 - RetailerPlan 4 - RetailerPlan 5 - RetailerPlan 6 - Retailer/Wholesaler
Type
Retailer/Wholesaler
Products
hobby and craft paints
Trademarks
Accent
Timing
Program: Calendar year
Accrual: Previous calendar year
Advertising: Calendar year
Claim: Within 90 days of ad run
Accrual
1%
Participation
Manufacturer: 50%
Dealer: 50%
Advertising Specifications
-Trademark name must be prominent.
Reimbursement Method
Credit memo
Claim Documentation
-All Media: paid media invoice; prior approval documentation-Catalog: complete copy of piece-Circular: complete copy of piece-Newspaper: full page tearsheet-Newspaper Insert: complete copy of piece-Weekly Newspaper: full page tearsheet
Claim Address
Send claim to manufacturer's local representative.
Personnel
Program Contact
(Mktg.)
Toll Free: (800) 323-0749
Phone: (708) 547-6650",1233,"Sanford Corp.","12/31",50,"3506-6","2009-05-18 17:47:42","2009-05-18 17:49:09"
1598,"See Full Citation","Jewelry and Watches","Rolex Watch U.S.A., Inc.","Corporate Address
665 Fifth Ave.
New York, NY 10022
Fax: (212) 371-0371
programs matching search criteria   other programsPlan 1 - RetailerPlan 2
Products
watches
Trademarks
Cellini; Rolex
Participation
May Include: Space or Time Only
Eligible Media
Cable TVCatalogMagazineOutdoorRadioTV
Advertising Specifications
-Manufacturer's products only; no omnibus ads.-No competing products.-Manufacturer's logo required.
Reimbursement Method
Credit memo
Claim Documentation
-Magazine: full page tearsheet; paid media invoice-Newspaper: full page tearsheet; paid media invoice-Radio: ANA/RAB * electronic tearsheet; paid media invoice; script-TV: ANA/TvB * electronic tearsheet; paid media invoice; script
Claim Address
Co Ams
770 N. Halsted St., Ste. 508
Chicago",1241,"Rolex Watch Inc.","12/31",50,"3500-1","2009-05-18 17:47:42","2009-05-18 17:49:09"
1599,"See Full Citation","Heating and Air Conditioning","Space-Gard","Corporate Address
P.O. Box 1467
1015 E. Washington Ave.
Madison, WI 53701-1467
Fax: (608) 257-4357
Toll Free: (800) 334-6011
Phone: (608) 310-6534
programs matching search criteria   other programsPlan 1 - Retailer
Products
air cleaners: humidifiers; energy recovery ventilators, co-alarm ultraviolet lights; heat exchange; thermostats & zone control
Trademarks
Aprilaire
Accrual
$250 (bonus money for humidifiers & air cleaners) per dealer
Participation
May Include: Net Media Costs
Eligible Media
Cable TVCatalogCircularDirect MailExhibitFlyerInternetMagazineNewsletterNewspaperNewspaper InsertOutdoorRadioShopperStatement StufferTVTrade MagazineTrade ShowWeekly NewspaperYellow Pages
Advertising Specifications
-No competing products.-Manufacturer's products must be clearly separated from other products.-Only advertising material supplied by manufacturer may be used.-Prior approval required for advertising material not supplied by manufacturer.-Manufacturer's logo required.
Media Requirements
-All Media: broad general interest
Advertising Aids
Camera-ready ads; Electronic Artwork; Print elements; Radio commercials; Radio elements; TV commercials; TV elements
Reimbursement Method
Check
Claim Documentation
-All Media: debit memo or invoice from advertiser; paid media invoice; proof of purchase-Cable TV: station affidavit-Direct Mail: affidavit of distribution; complete copy of piece; paid printer's invoice; postal receipt-Newspaper: full page tearsheet; paid media invoice-Outdoor: paid media invoice; photo-Radio: ANA/RAB * electronic tearsheet; station affidavit-Shopper: Home Shows:-TV: ANA/CAB * electronic tearsheet; ANA/TvB * electronic tearsheet-Trade Show: photo-Weekly Newspaper: full page tearsheet; paid media invoice-Yellow Pages: affidavit of distribution; full page tearsheet
Claim Address
P.O. Box 1467
1015 E. Washington Ave.
Madison, WI 53701-1467",1240,"Research Prods. Corp.","03/01",50,"3496-1","2009-05-18 17:47:42","2009-05-18 17:49:09"
1600,"5%","Linens - Bed, Bath and Kitchen","Towels Div.","Corporate Address
2100 Section Rd.
Cincinnati, OH 45237
Fax: (513) 242-2805
programs matching search criteria   other programsPlan 1 - RetailerPlan 2 - RetailerPlan 3 - Retailer
Name
Towels Div.
Type
Retailer
Special Instructions
Advertising contract must be obtained, filed, approved and returned before any ads are placed.
Products
Towels
Trademarks
Saturday Knight
Timing
Program: Calendar year
Accrual: Calendar year
Advertising: Calendar year
Claim: Within 30 days of ad run
Accrual
5%
Participation
Manufacturer: 50%
Dealer: 50%
Eligible Media
Cable TVCatalogMagazineNewspaperRadioTVWeekly Newspaper
Advertising Specifications
-Products must be illustrated.-Trademark name must be prominent.
Media Requirements
-All Media: prior approval required
Advertising Aids
Print elements
Reimbursement Method
Credit memo
current accts. only.
Claim Documentation
-All Media: paid media invoice-Catalog: complete copy of piece-Magazine: complete copy of piece-Newspaper: full page tearsheet-Radio: script; station affidavit-TV: ANA/CAB * electronic tearsheet; script; station affidavit-Weekly Newspaper: full page tearsheet
Claim Address
2100 Section Rd.
Cincinnati, OH 45237",346,"Saturday Knight Ltd.","12/31",50,"3510-3","2009-05-18 17:47:42","2009-05-18 17:49:09"
1601,"See Full Citation","Pharmaceuticals and Health Care Supplies","","Corporate Address
127 W. Hazel St.
Inglewood, CA 90302
Fax: (310) 673-7773
programs matching search criteria   other programsPlan 1 - RetailerPlan 2 - Retailer
Type
Retailer
Products
automatic moist heat; back pillows; bed wedges; cervical pillows; magnetic products; posture seats
Trademarks
Back Me; Bottoms Up; Curve Snugger; Good 'N Bed; Luvs Ya Back; Quick Strips Flexible Bandages; Tectonic; Thermapad
Timing
Program: Calendar year
Accrual: Calendar year
Advertising: Calendar year
Claim: Within 30 days of ad run
Participation
Manufacturer: 20%
Dealer: 80%
Maximum: $350.00
Eligible Media
NewspaperRadioWeekly Newspaper
Advertising Specifications
-Manufacturer's products only; no omnibus ads.-No competing products.-Prior approval required for advertising material not supplied by manufacturer.-Manufacturer's logo required.-Trademark name required.-Not misleading.
Advertising Aids
Camera-ready ads; Print elements; Radio commercials
Reimbursement Method
Credit memo
Claim Documentation
-All Media: manufacturer's claim form-Newspaper: full page tearsheet; paid media invoice-Radio: paid media invoice; script; station affidavit-Weekly Newspaper: full page tearsheet; paid media invoice
Claim Address
attention :",1242,"Roloke Co.","12/31",20,"3501-1","2009-05-18 17:47:42","2009-05-18 17:49:09"
1602,"3%","Automotive Aftermarket","Japanese Vehicle Applications","Corporate Address
2800 S. 25th Ave.
Broadview, IL 60155
Fax: (708) 786-3544
programs matching search criteria   other programsPlan 1 - WholesalerPlan 2 - Wholesaler
Name
Japanese Vehicle Applications
Type
Wholesaler
Special Instructions
All retailers claims submitted through wholesaler
Products
oxygen sensors, oil filters, air filters, remanufactured starters & alternators, spark plug wire sets, fuel injection fuel filters, fuel injection components, ignition parts, wiper blades/refills
Trademarks
Micro Edge II; Robert Bosch
Timing
Program: Calendar year
Accrual: Previous calendar year
Advertising: Calendar year
Claim: Within 60 days of ad run
Accrual
3%
Participation
Manufacturer: 100%
on all Japanese Vehicle Applications featured product advertising & promotion and sales motivators; contact mfr. for complete guidelines
Eligible Media
CatalogDirect MailFlyerNewspaperNewspaper InsertOutdoorRadioSls. motivatorsTVWeekly NewspaperYellow Pages
Advertising Specifications
-Products must be illustrated.-Manufacturer's logo required.-Trademark name must be prominent.-Price must be listed.-Store name and address.
Media Requirements
-Direct Mail: prior approval required-Newspaper: 2nd-class mailing permit; audited circulation; audited rates; serving retailer's primary trading area-Newspaper Insert: 2nd-class mailing permit; audited circulation; audited rates; serving retailer's primary trading area-Outdoor: prior approval for self-produced ads-Radio: FCC license-TV: FCC license-Weekly Newspaper: 2nd-class mailing permit; audited circulation; audited rates; serving retailer's primary trading area-Yellow Pages: Other; Trademark heading in Ad Planner; prior approval required
Advertising Aids
Camera-ready ads; Outdoor posters; Print elements
Reimbursement Method
Check
Claim Documentation
-All Media: indirect retailers must submit wholesaler's invoice; paid media invoice; prior approval documentation-Catalog: complete copy of piece; paid printer's invoice-Direct Mail: affidavit of distribution; complete copy of piece; paid printer's invoice; postal receipt-Flyer: complete copy of piece; paid printer's invoice-Newspaper: full page tearsheet-Newspaper Insert: complete copy of piece; paid printer's invoice-Outdoor: photo-Radio: script; station affidavit-Shopper: Sales Motivators-TV: script; station affidavit-Weekly Newspaper: full page tearsheet-Yellow Pages: full page tearsheet
Claim Address
Robert Bosch Co-op
Shared Marketing Services
P.O. Box 812480
Chicago, IL 60681-2480",1243,"Robert Bosch Corp.","12/31",100,"3498-1","2009-05-18 17:47:42","2009-05-18 17:49:09"
1603,"5%","China, Crystal and Silver","Sterling Flatware","Corporate Address
144 W. Britannia St.
Taunton, MA 02780-1643
Fax: (508) 822-7269
programs matching search criteria   other programsPlan 1 - RetailerPlan 2 - RetailerPlan 3 - RetailerPlan 4 - RetailerPlan 5 - Retailer
Name
Sterling Flatware
Type
Retailer
Special Instructions
Contact mfr. for details.  Only the V.P. Admin./Controller at Reed Barton Silversmiths has the authority to approve any deviation from established advertising accruals under plan.
Products
sterling flatware
Trademarks
Reed & Barton Sterling Flatware
Timing
Program: Calendar year
Accrual: Previous calendar year
Advertising: Calendar year
Claim: Within 60 days of ad run
Accrual
5%
Participation
Manufacturer: 100%
May Include: Space or Time Only
Eligible Media
CatalogCircularFlyerMagazineNewspaperNewspaper InsertRadioTV
Advertising Specifications
-All advertising requires prior approval.-Trademark name required.
Media Requirements
-All Media: prior approval required; serving retailer's primary trading area
Reimbursement Method
Credit memo
Claim Documentation
-All Media: paid media invoice-Catalog: complete copy of piece-Circular: complete copy of piece-Flyer: complete copy of piece-Magazine: complete copy of piece-Newspaper: full page tearsheet-Newspaper Insert: complete copy of piece-Radio: ANA/RAB * electronic tearsheet; script; storyboard-TV: ANA/TvB * electronic tearsheet; script; storyboard
Claim Address
Reed & Barton Silversmiths
Co-op Advertising Dept.
P.O. Box 4006
Taunton, MA 02780-4006
Personnel
John Ehrlich (TV Approval)",1237,"Reed & Barton Silversmiths","12/31",100,"3494-5","2009-05-18 17:47:42","2009-05-18 17:49:09"
1604,"1%","Automotive Aftermarket","Non-Japanese Vehicle Applications","Corporate Address
2800 S. 25th Ave.
Broadview, IL 60155
Fax: (708) 786-3544
programs matching search criteria   other programsPlan 1 - WholesalerPlan 2 - Wholesaler
Name
Non-Japanese Vehicle Applications
Type
Wholesaler
Special Instructions
All retailer claims must be submitted through wholesaler
Products
all 'non-Japanese' vehicle auto products
Trademarks
Robert Bosch
Timing
Program: Calendar year
Accrual: Previous calendar year
Advertising: Calendar year
Claim: Within 60 days of ad run
Accrual
1%
Participation
Manufacturer: 50%
Dealer: 50%
Eligible Media
CatalogDirect MailFlyerNewspaperNewspaper InsertOutdoorRadioSales motivatorsTVWeekly NewspaperYellow Pages
Advertising Placement
Spots Only
Advertising Specifications
-Products must be illustrated.-Trademark name must be prominent.-Price must be listed.-Store name and address.
Media Requirements
-Direct Mail: prior approval required-Newspaper: 2nd-class mailing permit; audited circulation; audited rates; serving retailer's primary trading area-Newspaper Insert: 2nd-class mailing permit; audited circulation; audited rates; serving retailer's primary trading area-Outdoor: prior approval required-Radio: FCC license; prior approval for self-produced ads-TV: FCC license; prior approval for self-produced ads-Weekly Newspaper: 2nd-class mailing permit; audited circulation; audited rates; serving retailer's primary trading area-Yellow Pages: prior approval required
Advertising Aids
Camera-ready ads; Outdoor posters; Print elements
Reimbursement Method
Check
Claim Documentation
-All Media: indirect retailers must submit wholesaler's invoice; manufacturer's claim form; paid media invoice-Catalog: complete copy of piece; paid printer's invoice-Direct Mail: affidavit of distribution; complete copy of piece; paid printer's invoice; postal receipt-Flyer: complete copy of piece; paid printer's invoice-Newspaper: full page tearsheet-Newspaper Insert: full page tearsheet-Outdoor: photo-Radio: ANA/RAB * electronic tearsheet; script; station affidavit-Shopper: Sales motivators:-TV: ANA/TvB * electronic tearsheet; script; station affidavit-Yellow Pages: full page tearsheet
Claim Address
Robert Bosch Co-op
Shared Marketing Services
P.O. Box 812480
Chicago, IL 60681-2480",1243,"Robert Bosch Corp.","12/31",50,"3498-2","2009-05-18 17:47:42","2009-05-18 17:49:09"
1605,"See Full Citation","Lawn, Garden and Snow Removal Products","","Corporate Address
550 N. 54th St.
Chandler, AZ 85226-2434
Fax: (330) 225-2600
programs matching search criteria   other programsPlan 1 - Retailer/Wholesaler
Type
Retailer/Wholesaler
Products
lawn & garden
Trademarks
Ryobi
Timing
Program: Ongoing
Participation
Manufacturer: 50%
Dealer: 50%
Claim Address
attention :",1244,"MTB Southwest Inc.","10/31",50,"3504-1","2009-05-18 17:47:42","2009-05-18 17:49:09"
1606,"2.5%","Shoes","","Corporate Address
252 Quarry Rd.
Lancaster, OH 43130
Fax: (740) 654-4979
programs matching search criteria   other programsPlan 1 - Retailer
Type
Retailer
Products
shoes
Trademarks
Drew
Timing
Program: Ongoing
Accrual
2.5%
Participation
Manufacturer: 50%
Dealer: 50%
Eligible Media
Newspaper
Claim Address
252 Quarry Rd.
Lancaster, OH 43130",1247,"Drew Shoe Corporation","",50,"878-1","2009-05-18 17:47:42","2009-05-18 17:49:09"
1607,"See Full Citation","Linens - Bed, Bath and Kitchen","","Corporate Address
12345 Albert Hudson
Montreal, PQ H1G 3L1
Canada
programs matching search criteria   other programsPlan 1
Products
bedding
Participation
Manufacturer: 75%
Dealer: 25%
Eligible Media
FlyerMagazineNewspaperRadioTV
Claim Address
12345 Albert Hudson
Montreal, PQ H1G 3L1
Canada",1246,"Dorel Industries","",75,"867-1","2009-05-18 17:47:42","2009-05-18 17:49:09"
1608,"5%","Paints and Wallcoverings","","Corporate Address
6502 Nelson
Ft. Wayne, IN 46801-0868
Fax: (260) 748-5680
programs matching search criteria   other programsPlan 1 - Retailer
Type
Retailer
Special Instructions
This program for Do It Best Corp. only.
Products
paints
Trademarks
Colony; Do-It-Best; Integrity; Master Touch; Valspar
Timing
Program: Jul. 01 - Jun. 30
Advertising: Jul. 01 - Jun. 30
Claim: Within 60 days of ad run
Accrual
5%
Participation
Manufacturer: 50%
Dealer: 50%
Eligible Media
NewspaperRadioWeekly Newspaper
Advertising Specifications
-No competing products.-Manufacturer's products must be clearly separated from other products.-Products must be illustrated.
Reimbursement Method
Credit memo
Claim Documentation
-All Media: manufacturer's claim form; paid media invoice-Newspaper: full page tearsheet-Radio: script; station affidavit-Weekly Newspaper: full page tearsheet
Claim Address
Co-op Advertising Dept.
Do It Best
P.O. Box 868
Ft. Wayne, IN 46801-0868",1245,"Do It Best Corp.","06/30",50,"848-1","2009-05-18 17:47:42","2009-05-18 17:49:09"
